CODIGO_PROYECTO,N,SUBDIRECCION,PROGRAMA_CONICYT,INSTRUMENTO,NOMBRE_CONCURSO,AÑO_CONCURSO,AÑO_FALLO,NOMBRE_PROYECTO,AREA_OCDE,DISCIPLINA_DETALLE,GRUPO_DE_EVALUACION,DURACION_MESES,TIPO_BENEFICIARIO,NOMBRE_RESPONSABLE,SEXO,INSTITUCION_PRINCIPAL,MACROZONA MINCIENCIA (segUn ax),REGION_EJECUCION,MONTO ADJUDICADO (MILES $),M$_SINFO_NOSOLICITA
EQM190088,33654,CENTROS,FONDEQUIP,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO,VIII CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO,2018,2019,REPOSICION Y ACTUALIZACION DEL EQUIPO IRGA 6800 PARA REESTABLECER/RECUPERAR LA LINEA DE INVESTIGACION EN LA PRODUCTIVIDAD VEGETAL EN CONDICIONES DE ARIDEZ Y EN EL CONTEXTO DEL CAMBIO CLIMATICO,CIENCIAS AGRICOLAS,,NO APLICA,18,PERSONA JURIDICA,JOSE DELATORRE HERRERA,HOMBRE,UNIVERSIDAD ARTURO PRAT,NORTE,01. TARAPACA,99308,
32180009,33678,REC,ASTRONOMIA,FONDO GEMINI - CONICYT,"FONDO GEMINIâ€“ CONICYT, PARA EL DESARROLLO DE LA ASTRONOMIA NACIONAL 2018",2018,2019,LIGHT UP THE ECLIPSE IN THE ATACAMA REGION,CIENCIAS NATURALES,ASTRONOMIA,NO APLICA,24,PERSONA JURIDICA,LORENZO MORELLI,HOMBRE,UNIVERSIDAD DE ATACAMA,NORTE,03. ATACAMA,5000,
32180014,33680,REC,ASTRONOMIA,FONDO GEMINI - CONICYT,"FONDO GEMINIâ€“ CONICYT, PARA EL DESARROLLO DE LA ASTRONOMIA NACIONAL 2018",2018,2019,INCT OPTICAL LABORATORY,CIENCIAS NATURALES,ASTRONOMIA,NO APLICA,24,PERSONA JURIDICA,MAURO BARBIERI,HOMBRE,UNIVERSIDAD DE ATACAMA,NORTE,03. ATACAMA,10000,
ID16I20244,33732,INVESTIGACION APLICADA,FONDEF,IDeA - IT,III CONCURSO 2 ETAPAS AÃ‘O 2016 - Etapa 2,2018,2019,DESARROLLO BIOTECNOLOGICO DE UN NUEVO RECURSO PLANCTONICO COMO FUENTE DE COMPUESTOS BIOACTIVOS PARA LA INDUSTRIA ACUICOLA Y ALIMENTARIA,CIENCIAS NATURALES,PESCA Y ACUICULTURA,NO APLICA,24,PERSONA JURIDICA,MARIA TERESA MATA,MUJER,UNIVERSIDAD DE ANTOFAGASTA,NORTE,02. ANTOFAGASTA,150000,
ID16I20437,33733,INVESTIGACION APLICADA,FONDEF,IDeA - IT,III CONCURSO 2 ETAPAS AÃ‘O 2016 - Etapa 2,2018,2019,REPOBLAMIENTO DE PECES DE ROCA DE ALTO VALOR COMERCIAL MEDIANTE SISTEMA SIPS EN CALETA DE PESCADORES ARTESANALES EN PRIMERA REGION TARAPACA RECUPERANDO LA CAPACIDAD EXTRACTIVA POR PARTE DE LOS PESCADORES IMPACTANDO POSITIVAMENTE INGRESOS Y NIVEL DE VIDA,CIENCIAS NATURALES,PESCA Y ACUICULTURA,NO APLICA,24,PERSONA JURIDICA,GERMAN PEDRO BUENO GALAZ,HOMBRE,UNIVERSIDAD ARTURO PRAT,NORTE,01. TARAPACA,149997,
ID19I10021,33760,INVESTIGACION APLICADA,FONDEF,IDeA I+D,CONCURSO IDEA I+D 2019,2018,2019,"PROPUESTA DE GUIA, ELABORACION DE MAPAS Y PLATAFORMA DE MULTIAMENAZAS PARA TOMA DE DECISIONES CRITIC AS Y ADAPTACION AL CAMBIO CLIMATICO DE REGIONES METROPOLITANAS Y GRANDES CONURBACIONES DE CHILE",INGENIERIA Y TECNOLOGIA,TECNOLOGIA DE LA INFORMACION Y COMUNICAC,NO APLICA,24,PERSONA JURIDICA,GABRIEL GONZALEZ LOPEZ,HOMBRE,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,199986,
ID19I10217,33801,INVESTIGACION APLICADA,FONDEF,IDeA I+D,Concurso IDeA I+D 2019,2018,2019,DESARROLLO DE UN PROTOTIPO PARA LA PRODUCCION DE MICROENCAPSULADOS DE LUTEINA EXTRAIDA DESDE BIOMASA MICROALGAL NATIVA COMO UN INGREDIENTE CON PROPIEDADES FUNCIONALES.,CIENCIAS NATURALES,PESCA Y ACUICULTURA,NO APLICA,24,PERSONA JURIDICA,CLAUDIA SEPULVEDA VEGA,MUJER,UNIVERSIDAD DE ANTOFAGASTA,NORTE,02. ANTOFAGASTA,200000,
ID19I10257,33805,INVESTIGACION APLICADA,FONDEF,IDeA I+D,Concurso IDeA I+D 2019,2018,2019,REDUCCION DEL TIEMPO DE RESPUESTA DE AMBULANCIAS SAMU EN LAS REGIONES DE ANTOFAGASTA Y COQUIMBO,CIENCIAS MEDICAS Y DE LA SALUD,TECNOLOGIA DE LA INFORMACION Y COMUNICAC,NO APLICA,24,PERSONA JURIDICA,HERNAN CACERES VENEGAS,HOMBRE,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,199746,
ID19I10366,33829,INVESTIGACION APLICADA,FONDEF,IDeA I+D,Concurso IDeA I+D 2019,2018,2019,DESARROLLO DE UN PROCESO DE OXIDACION AVANZADO COMBINADO CON ULTRASONIDOS QUE PERMITA EL RECICLAJE DE MEMBRANAS DE OSMOSIS INVERSA EN MEMBRANAS DE FILTRACION PARA EL TRATAMIENTO TERCIARIO DE AGUAS RESIDUALES,CIENCIAS NATURALES,ENERGIA Y AGUAS,NO APLICA,24,PERSONA JURIDICA,JAIME CHACANA OLIVARES,HOMBRE,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,199903,
11190023,33846,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,"DEL ESPACIO ECONOMICO PERUANO A LA RIGIDIFICACION DE LAS FRONTERAS NACIONALES: EL PROCESO DE LA ARRIERIA EN LA ACTUAL REGION DE ANTOFAGASTA, CHILE (SIGLOS XVIII-XX)",CIENCIAS SOCIALES,ANTROP. Y ARQUE,ANTROP. Y ARQUE,36,PERSONA NATURAL,CARLOS MARIA CHIAPPE FIGUERAS,HOMBRE,UNIV.CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,98038,
